>
2012 01 02  03 41 36   55928.153889  -1.1437E+00
2012 01 02  03 51 36   55928.160833  -1.1745E+00
2012 01 02  04 01 36   55928.167778  -1.1558E+00
2012 01 02  04 11 36   55928.174722  -1.1574E+00
2012 01 02  04 21 36   55928.181667  -1.1249E+00
2012 01 02  04 31 36   55928.188611  -1.0852E+00
2012 01 02  04 41 36   55928.195556  -1.0343E+00
2012 01 02  04 51 36   55928.202500  -9.4921E-01
2012 01 02  05 01 36   55928.209444  -8.6914E-01
2012 01 02  05 11 36   55928.216389  -7.9472E-01
2012 01 02  05 21 36   55928.223333  -7.0223E-01
2012 01 02  05 31 36   55928.230278  -6.0380E-01
2012 01 02  05 41 36   55928.237222  -4.9489E-01
2012 01 02  05 51 36   55928.244167  -4.0053E-01
2012 01 02  06 01 36   55928.251111  -3.2105E-01
2012 01 02  06 11 36   55928.258056  -2.2235E-01
2012 01 02  06 21 36   55928.265000  -1.3538E-01
2012 01 02  06 31 36   55928.271944  -3.4189E-02
2012 01 02  06 41 36   55928.278889   5.3620E-02
2012 01 02  06 51 36   55928.285833   1.7463E-01
2012 01 02  07 01 36   55928.292778   2.6311E-01
2012 01 02  07 11 36   55928.299722   3.3878E-01
2012 01 02  07 21 36   55928.306667   4.0975E-01
2012 01 02  07 31 36   55928.313611   5.1255E-01
2012 01 02  07 41 36   55928.320556   6.0856E-01
2012 01 02  07 51 36   55928.327500   7.1023E-01
2012 01 02  08 01 36   55928.334444   7.9159E-01
2012 01 02  08 11 36   55928.341389   8.6432E-01
2012 01 02  08 21 36   55928.348333   9.4738E-01
2012 01 02  08 31 36   55928.355278   1.0020E+00
2012 01 02  08 41 36   55928.362222   1.0596E+00
2012 01 02  08 51 36   55928.369167   1.1102E+00
2012 01 02  09 01 36   55928.376111   1.1522E+00
2012 01 02  09 11 36   55928.383056   1.1908E+00
2012 01 02  09 21 36   55928.390000   1.2114E+00
2012 01 02  09 31 36   55928.396944   1.2457E+00
2012 01 02  09 41 36   55928.403889   1.2541E+00
2012 01 02  09 51 36   55928.410833   1.2563E+00
2012 01 02  10 01 36   55928.417778   1.2466E+00
2012 01 02  10 11 36   55928.424722   1.2354E+00
2012 01 02  10 21 36   55928.431667   1.2142E+00
2012 01 02  10 31 36   55928.438611   1.1864E+00
2012 01 02  10 41 36   55928.445556   1.1429E+00
2012 01 02  10 51 36   55928.452500   1.0975E+00
2012 01 02  11 01 36   55928.459444   1.0428E+00
2012 01 02  11 11 36   55928.466389   9.8106E-01
2012 01 02  11 21 36   55928.473333   9.1370E-01
2012 01 02  11 31 36   55928.480278   8.2769E-01
2012 01 02  11 41 36   55928.487222   7.4638E-01
2012 01 02  11 51 36   55928.494167   6.6109E-01
2012 01 02  12 01 36   55928.501111   5.8137E-01
2012 01 02  12 11 36   55928.508056   4.9466E-01
2012 01 02  12 21 36   55928.515000   4.0445E-01
2012 01 02  12 31 36   55928.521944   3.0627E-01
2012 01 02  12 41 36   55928.528889   2.1165E-01
2012 01 02  12 51 36   55928.535833   1.1951E-01
2012 01 02  13 01 36   55928.542778   2.1263E-02
2012 01 02  13 11 36   55928.549722  -5.4650E-02
2012 01 02  13 21 36   55928.556667  -1.5448E-01
2012 01 02  13 31 36   55928.563611  -2.4463E-01
2012 01 02  13 41 36   55928.570556  -3.3452E-01
2012 01 02  13 51 36   55928.577500  -4.1086E-01
2012 01 02  14 01 36   55928.584444  -4.8168E-01
2012 01 02  14 11 36   55928.591389  -5.3968E-01
2012 01 02  14 21 36   55928.598333  -6.2134E-01
2012 01 02  14 31 36   55928.605278  -6.8686E-01
2012 01 02  14 41 36   55928.612222  -7.6800E-01
2012 01 02  14 51 36   55928.619167  -8.4316E-01
2012 01 02  15 01 36   55928.626111  -9.1405E-01
2012 01 02  15 11 36   55928.633056  -9.7714E-01
2012 01 02  15 21 36   55928.640000  -1.0218E+00
2012 01 02  15 31 36   55928.646944  -1.0658E+00
2012 01 02  15 41 36   55928.653889  -1.1201E+00
2012 01 02  15 51 36   55928.660833  -1.1802E+00
2012 01 02  16 01 36   55928.667778  -1.2242E+00
2012 01 02  16 11 36   55928.674722  -1.2397E+00
2012 01 02  16 21 36   55928.681667  -1.2551E+00
2012 01 02  16 31 36   55928.688611  -1.2478E+00
2012 01 02  16 41 36   55928.695556  -1.2272E+00
2012 01 02  16 51 36   55928.702500  -1.2052E+00
2012 01 02  17 01 36   55928.709444  -1.1571E+00
2012 01 02  17 11 36   55928.716389  -1.1180E+00
2012 01 02  17 21 36   55928.723333  -1.0766E+00
2012 01 02  17 31 36   55928.730278  -1.0206E+00
2012 01 02  17 41 36   55928.737222  -9.3437E-01
2012 01 02  17 51 36   55928.744167  -8.4973E-01
2012 01 02  18 01 36   55928.751111  -7.5916E-01
2012 01 02  18 11 36   55928.758056  -6.6554E-01
2012 01 02  18 21 36   55928.765000  -5.7996E-01
2012 01 02  18 31 36   55928.771944  -4.8120E-01
2012 01 02  18 41 36   55928.778889  -3.8290E-01
2012 01 02  18 51 36   55928.785833  -2.9998E-01
2012 01 02  19 01 36   55928.792778  -1.9415E-01
2012 01 02  19 11 36   55928.799722  -1.0102E-01
2012 01 02  19 21 36   55928.806667  -1.2027E-02
2012 01 02  19 31 36   55928.813611   7.8583E-02
2012 01 02  19 41 36   55928.820556   1.7092E-01
2012 01 02  19 51 36   55928.827500   2.6052E-01
2012 01 02  20 01 36   55928.834444   3.6078E-01
2012 01 02  20 11 36   55928.841389   4.3349E-01
2012 01 02  20 21 36   55928.848333   4.8498E-01
2012 01 02  20 31 36   55928.855278   5.4081E-01
2012 01 02  20 41 36   55928.862222   5.9112E-01
2012 01 02  20 51 36   55928.869167   6.8335E-01
2012 01 02  21 01 36   55928.876111   7.5644E-01
2012 01 02  21 11 36   55928.883056   8.2600E-01
2012 01 02  21 21 36   55928.890000   8.6942E-01
2012 01 02  21 31 36   55928.896944   8.9620E-01
2012 01 02  21 41 36   55928.903889   9.5721E-01
2012 01 02  21 51 36   55928.910833   9.9960E-01
2012 01 02  22 01 36   55928.917778   1.0587E+00
2012 01 02  22 11 36   55928.924722   1.0728E+00
2012 01 02  22 21 36   55928.931667   1.1002E+00
2012 01 02  22 31 36   55928.938611   1.1148E+00
2012 01 02  22 41 36   55928.945556   1.1307E+00
2012 01 02  22 51 36   55928.952500   1.1168E+00
2012 01 02  23 01 36   55928.959444   1.0908E+00
2012 01 02  23 11 36   55928.966389   1.0739E+00
2012 01 02  23 21 36   55928.973333   1.0628E+00
2012 01 02  23 31 36   55928.980278   1.0470E+00
