 114   0 2 0 2-2 2 2 0 0 0 2 .00000 .00000 .00000      .00000 .000013  .000000
 115  55 2 0 2-1-2 0 1 0 0 0 .00009 .00009 .00009      .00000 .000083  .000000
 116  56 2 0 2-1-1 0 0 0 0 2 .00007 .00007 .00007      .00000 .000074  .000000
 117   0 3 0 2-1-1 0 1 0 0-1 .00000 .00000 .00000      .00000 .000006  .000000
 118   0 2 0 2-1 0-1-1 0 0 2 .00000 .00000 .00000      .00000 .000029  .000000
 119  57 2 0 2-1 0 0-1 0 0 2 .00014 .00014 .00014      .00017 .000151  .000000
 120   0 3 0 2-1 0 0 0 0 0 1 .00000 .00000 .00000      .00000 .000004  .000000
 121  58 2 0 2-1 0 0 1 0 0 0 .00047 .00047 .00047      .00048 .000474  .000000
 122  59 2 0 2-1 0 1 1 0 0 0 .00009 .00009 .00009      .00012 .000100  .000000
 123  60 2 0 2 0-2-1 0 0 0 2 .00035 .00035 .00035      .00036 .000360  .000000
 124  61 2 0 2 0-2 0 0 0 0 0 .00676 .00676 .00676      .00677 .006767  .000003
 125  62 2 0 2 0-2 1 0 0 0 2 .00045 .00045 .00045      .00044 .000439  .000000
 126   0 3 0 2 0-1-1 0 0 0 1 .00000 .00000 .00000      .00000 .000040  .000000
 127   0 2 0 2 0-1 0-1 0 0 0 .00000 .00000 .00000      .00000 .000015  .000000
 128  63 3 0 2 0-1 0 0 0 0-1 .00076 .00076 .00076      .00076 .000762  .000000
 129  64 3 0 2 0-1 1 0 0 0-1 .00012 .00012 .00012      .00012 .000120  .000000
 130   0 3 0 2 0-1 2 0 0 0 1 .00000 .00000 .00000      .00000 .000009  .000000
 131  65 2 0 2 0 0 0 0 0 0 0 .15651 .15641 .15637 MF   .15642 .156303 -.000165
 132   0 4 0 2 0 0 0 0 0 0 0 .00000 .00000 .00000      .00000 .000086  .000000
 133  66 2 0 2 0 0 1 0 0 0 0 .06484 .06482 .06482      .06481 .064805 -.000035
 134   0 4 0 2 0 0 1 0 0 0 0 .00000 .00000 .00000      .00000 .000032  .000000
 135  67 2 0 2 0 0 2 0 0 0 0 .00605 .00605 .00605      .00607 .006060  .000001
 136   0 3 0 2 0 1 0 0 0 0 1 .00000 .00000 .00000      .00000 .000021  .000000
 137  68 2 0 2 0 0 3 0 0 0 2 .00012 .00014 .00014      .00013 .000130  .000000
 138   0 3 0 2 0 1 1 0 0 0 1 .00000 .00000 .00000      .00000 .000013  .000000
 139   0 3 0 2 0 1 2 0 0 0 1 .00000 .00000 .00000      .00000 .000006  .000000
 140  69 2 0 2 1-2 0-1 0 0 2 .00007 .00007 .00007      .00000 .000066  .000000
 141   0 3 0 2 1-1 0-1 0 0 1 .00000 .00000 .00000      .00000 .000005  .000000
 142   0 2 0 2 1-1 0 0 0 0 0 .00000 .00000 .00000      .00000 .000024  .000000
 143  70 2 0 2 1 0 0-1 0 0 2 .00054 .00054 .00054      .00054 .000537  .000000
 144  71 2 0 2 1 0 1-1 0 0 2 .00014 .00014 .00014      .00014 .000141  .000000
 145  72 2 0 2 2-2 0 0 0 0 2 .00047 .00047 .00047      .00047 .000469  .000000
 146  73 2 0 2 2-2 1 0 0 0 2 .00019 .00019 .00019      .00019 .000181  .000000
 147   0 2 0 2 2-2 2 0 0 0 2 .00000 .00000 .00000      .00000 .000022  .000000
 148   0 3 0 2 2-1 0 0 0 0 1 .00000 .00000 .00000      .00000 .000005  .000000
 149   0 3 0 2 2-1 1 0 0 0 1 .00000 .00000 .00000      .00000 .000004  .000000
 150  74 2 0 2 2 0 2 0 0 0 2 .00007 .00007 .00007      .00000 .000068  .000000
 151   0 2 0 2 2 0 3 0 0 0 2 .00000 .00000 .00000      .00000 .000025  .000000
 152   0 2 0 2 3-2 0-1 0 0 2 .00000 .00000 .00000      .00000 .000019  .000000
 153  75 2 0 3-5 1 0 1 0 0 0 .00005 .00005 .00005      .00000 .000046  .000000
 154   0 2 0 3-4 1-1 0 0 0 0 .00000 .00000 .00000      .00000 .000041  .000000
 155  76 2 0 3-4 1 0 0 0 0 0 .00040 .00040 .00040      .00042 .000413  .000000
 156   0 2 0 3-4 1 1 0 0 0 2 .00000 .00000 .00000      .00000 .000030  .000000
 157   0 3 0 3-4 2 0 0 0 0-1 .00000 .00000 .00000      .00000 .000003  .000000
 158  77 2 0 3-3-1 0 1 0 0 0 .00016 .00016 .00016      .00016 .000158  .000000
 159   0 2 0 3-3-1 1 1 0 0 2 .00000 .00000 .00000      .00000 .000012  .000000
 160   0 3 0 3-3 0 0 1 0 0-1 .00000 .00000 .00000      .00000 .000008  .000000
 161  78 2 0 3-3 1 0 1 0 0 0 .00028 .00026 .00026      .00026 .000269  .000000
 162  79 2 0 3-3 1 1 1 0 0 0 .00012 .00009 .00009      .00011 .000105  .000000
 163  80 2 0 3-2-1-1 0 0 0 0 .00021 .00021 .00021      .00022 .000222  .000000
 164  81 2 0 3-2-1 0 0 0 0 0 .00216 .00216 .00216      .00217 .002167  .000000
 165  82 2 0 3-2-1 1 0 0 0 2 .00014 .00014 .00014      .00014 .000140  .000000
 166  83 3 0 3-2 0 0 0 0 0-1 .00012 .00012 .00012      .00013 .000128  .000000
 167   0 3 0 3-2 0 1 0 0 0-1 .00000 .00000 .00000      .00000 .000020  .000000
 168  84 2 0 3-2 1 0 0 0 0 0 .00568 .00568 .00568 MSTM .00569 .005684 -.000006
 169  85 2 0 3-2 1 1 0 0 0 0 .00235 .00235 .00235      .00236 .002356 -.000001
 170  86 2 0 3-2 1 2 0 0 0 0 .00021 .00021 .00021      .00021 .000213  .000000
 171   0 2 0 3-1-3 0 1 0 0 0 .00000 .00000 .00000      .00000 .000010  .000000
 172   0 2 0 3-1-2 0 0 0 0 2 .00000 .00000 .00000      .00000 .000008  .000000
 173   0 2 0 3-1-1 0-1 0 0 2 .00000 .00000 .00000      .00000 .000035  .000000
 174  87 2 0 3-1-1 0 1 0 0 0 .00030 .00030 .00030      .00028 .000279  .000000
 175  88 2 0 3-1-1 1 1 0 0 0 .00009 .00009 .00009      .00010 .000097  .000000
 176  89 2 0 3-1 0 0 0 0 0 2 .00016 .00016 .00016      .00016 .000157  .000000
 177  90 2 0 3-1 0 1 0 0 0 2 .00007 .00007 .00007      .00000 .000066  .000000
 178  91 2 0 3-1 1 0-1 0 0 2 .00005 .00005 .00007      .00000 .000059  .000000
 179   0 2 0 3-1 1 1-1 0 0 2 .00000 .00000 .00000      .00000 .000020  .000000
